Dataset,Model,Encoding,R^2,AUC_ROC,AUC_PRC,Spearmanr,Fit_time,Train_percent,Precision_scores,Recall_scores,F1_scores,Accuracy_scores
barton,XGBoost,PChemPropEncoder,NA,0.8748572697407571+/-0.004374367820105439,0.8617301421145405+/-0.002686633016974524,NA,257.88097681999204+/-13.791306792183823,NA,NA,NA,NA,NA
barton,xGPR_Conv1dRBF,OneHotEncoder,NA,0.8819121608589706+/-0.0052781058357066835,0.8673692095389116+/-0.00458742417577433,NA,264.48837518692017+/-8.771888709807206,NA,NA,NA,NA,NA
barton,xGPR_Conv1dRBF,PFAStandardEncoder,NA,0.8837529535479962+/-0.004807815370009513,0.8700343453076529+/-0.0032055167618511866,NA,265.35438952445986+/-0.1260095611713759,NA,NA,NA,NA,NA
mason,XGBoost,PChemPropEncoder,NA,0.9178708608575785+/-0.0027165768684070018,0.9099515517887538+/-0.0029384055072955847,NA,167.4984673500061+/-26.87753740831,NA,NA,NA,NA,NA
Desautels,XGBoost,PChemPropEncoder,NA,NA,NA,0.9790978506414401+/-6.46810310599314e-05,140.43940709114074+/-10.743618972672763,0.2,NA,NA,NA,NA
Desautels,xGPR_RBF,OneHotEncoder,NA,NA,NA,0.980735679471229+/-0.00016922332096878836,75.54587548255921+/-6.185314486182285,0.2,NA,NA,NA,NA
Desautels,xGPR_RBF,PFAStandardEncoder,NA,NA,NA,0.980926458876161+/-0.00017372728730096393,75.26853134155273+/-5.986406286117857,0.2,NA,NA,NA,NA
Cognano,XGBoost,PChemPropEncoder,NA,NA,0.7231870661935187+/-0.019650070522504857,NA,498.77277460098264+/-42.97333554869103,NA,0.7650296336042064+/-0.030829821899057818,0.581702514389579+/-0.013808196818868433,0.6605861402783434+/-0.01595139731220478,0.855457939819899+/-0.008246312796057944
IL6,XGBoost,PChemPropEncoder,NA,0.930780867974998+/-0.01758020046996158,0.9563548329054388+/-0.015249807838462243,NA,130.2545862197876+/-26.623635888360404,NA,NA,NA,NA,NA
barton,xGPDiscriminant_Conv1dRBF,OneHotEncoder,NA,0.8781124512152921+/-0.006516168058494165,0.8627164108473643+/-0.0053957401958612565,NA,309.89040145874026+/-7.740477204608158,NA,NA,NA,NA,NA
Cognano,xGPDiscriminant_RBF,PFAStandardEncoder,NA,NA,0.7131464900199027+/-nan,NA,807.24006524086+/-1.160498048370894,NA,0.8537490720118782+/-nan,0.5225689185095426+/-nan,0.648313445457108+/-nan,0.8629841130390219+/-nan
IL6,xGPDiscriminant_Conv1dRBF,PFAStandardEncoder,NA,0.9240370670966499+/-0.018531980598878884,0.9509006457625884+/-0.01423172121441455,NA,46.22601406574249+/-0.1468758487456408,NA,NA,NA,NA,NA
mason,xGPDiscriminant_RBF,PFAStandardEncoder,NA,0.9149314142437468+/-0.0020632759265783477,0.90667090461066+/-0.0010720594406527448,NA,269.55573348999025+/-0.9371397542096397,NA,NA,NA,NA,NA
